axis,system,held_fixed,varied_over,min,max,range
metric,bm25,"k=1, denom=excl_cat5","exact_match,token_f1,normalized_contains,normalized_em_first_token",0.0,0.072727,0.072727
metric,bm25,"k=3, denom=excl_cat5","exact_match,token_f1,normalized_contains,normalized_em_first_token",0.0,0.072727,0.072727
metric,bm25,"k=5, denom=excl_cat5","exact_match,token_f1,normalized_contains,normalized_em_first_token",0.0,0.072727,0.072727
metric,bm25,"k=10, denom=excl_cat5","exact_match,token_f1,normalized_contains,normalized_em_first_token",0.0,0.072727,0.072727
metric,tfidf_rag,"k=1, denom=excl_cat5","exact_match,token_f1,normalized_contains,normalized_em_first_token",0.0,0.064286,0.064286
metric,tfidf_rag,"k=3, denom=excl_cat5","exact_match,token_f1,normalized_contains,normalized_em_first_token",0.0,0.064286,0.064286
metric,tfidf_rag,"k=5, denom=excl_cat5","exact_match,token_f1,normalized_contains,normalized_em_first_token",0.0,0.064286,0.064286
metric,tfidf_rag,"k=10, denom=excl_cat5","exact_match,token_f1,normalized_contains,normalized_em_first_token",0.0,0.064286,0.064286
retrieval_k_score,bm25,"metric=exact_match, denom=excl_cat5","1,3,5,10",0.0,0.0,0.0
retrieval_k_score,bm25,"metric=token_f1, denom=excl_cat5","1,3,5,10",0.059595,0.059595,0.0
retrieval_k_score,bm25,"metric=normalized_contains, denom=excl_cat5","1,3,5,10",0.072727,0.072727,0.0
retrieval_k_score,bm25,"metric=normalized_em_first_token, denom=excl_cat5","1,3,5,10",0.009091,0.009091,0.0
retrieval_k_recall,bm25,denom=excl_cat5,"1,3,5,10",0.255844,0.55974,0.303896
retrieval_k_score,tfidf_rag,"metric=exact_match, denom=excl_cat5","1,3,5,10",0.0,0.0,0.0
retrieval_k_score,tfidf_rag,"metric=token_f1, denom=excl_cat5","1,3,5,10",0.051977,0.051977,0.0
retrieval_k_score,tfidf_rag,"metric=normalized_contains, denom=excl_cat5","1,3,5,10",0.064286,0.064286,0.0
retrieval_k_score,tfidf_rag,"metric=normalized_em_first_token, denom=excl_cat5","1,3,5,10",0.007792,0.007792,0.0
retrieval_k_recall,tfidf_rag,denom=excl_cat5,"1,3,5,10",0.216883,0.538961,0.322078
denominator_cat5,bm25,"metric=exact_match, k=1","excl_cat5,incl_cat5",0.0,0.0,0.0
denominator_cat5,bm25,"metric=token_f1, k=1","excl_cat5,incl_cat5",0.046212,0.059595,0.013383
denominator_cat5,bm25,"metric=normalized_contains, k=1","excl_cat5,incl_cat5",0.056395,0.072727,0.016332
denominator_cat5,bm25,"metric=normalized_em_first_token, k=1","excl_cat5,incl_cat5",0.007049,0.009091,0.002042
denominator_cat5,bm25,"metric=exact_match, k=3","excl_cat5,incl_cat5",0.0,0.0,0.0
denominator_cat5,bm25,"metric=token_f1, k=3","excl_cat5,incl_cat5",0.046212,0.059595,0.013383
denominator_cat5,bm25,"metric=normalized_contains, k=3","excl_cat5,incl_cat5",0.056395,0.072727,0.016332
denominator_cat5,bm25,"metric=normalized_em_first_token, k=3","excl_cat5,incl_cat5",0.007049,0.009091,0.002042
denominator_cat5,bm25,"metric=exact_match, k=5","excl_cat5,incl_cat5",0.0,0.0,0.0
denominator_cat5,bm25,"metric=token_f1, k=5","excl_cat5,incl_cat5",0.046212,0.059595,0.013383
denominator_cat5,bm25,"metric=normalized_contains, k=5","excl_cat5,incl_cat5",0.056395,0.072727,0.016332
denominator_cat5,bm25,"metric=normalized_em_first_token, k=5","excl_cat5,incl_cat5",0.007049,0.009091,0.002042
denominator_cat5,bm25,"metric=exact_match, k=10","excl_cat5,incl_cat5",0.0,0.0,0.0
denominator_cat5,bm25,"metric=token_f1, k=10","excl_cat5,incl_cat5",0.046212,0.059595,0.013383
denominator_cat5,bm25,"metric=normalized_contains, k=10","excl_cat5,incl_cat5",0.056395,0.072727,0.016332
denominator_cat5,bm25,"metric=normalized_em_first_token, k=10","excl_cat5,incl_cat5",0.007049,0.009091,0.002042
denominator_cat5,tfidf_rag,"metric=exact_match, k=1","excl_cat5,incl_cat5",0.0,0.0,0.0
denominator_cat5,tfidf_rag,"metric=token_f1, k=1","excl_cat5,incl_cat5",0.040304,0.051977,0.011673
denominator_cat5,tfidf_rag,"metric=normalized_contains, k=1","excl_cat5,incl_cat5",0.049849,0.064286,0.014437
denominator_cat5,tfidf_rag,"metric=normalized_em_first_token, k=1","excl_cat5,incl_cat5",0.006042,0.007792,0.00175
denominator_cat5,tfidf_rag,"metric=exact_match, k=3","excl_cat5,incl_cat5",0.0,0.0,0.0
denominator_cat5,tfidf_rag,"metric=token_f1, k=3","excl_cat5,incl_cat5",0.040304,0.051977,0.011673
denominator_cat5,tfidf_rag,"metric=normalized_contains, k=3","excl_cat5,incl_cat5",0.049849,0.064286,0.014437
denominator_cat5,tfidf_rag,"metric=normalized_em_first_token, k=3","excl_cat5,incl_cat5",0.006042,0.007792,0.00175
denominator_cat5,tfidf_rag,"metric=exact_match, k=5","excl_cat5,incl_cat5",0.0,0.0,0.0
denominator_cat5,tfidf_rag,"metric=token_f1, k=5","excl_cat5,incl_cat5",0.040304,0.051977,0.011673
denominator_cat5,tfidf_rag,"metric=normalized_contains, k=5","excl_cat5,incl_cat5",0.049849,0.064286,0.014437
denominator_cat5,tfidf_rag,"metric=normalized_em_first_token, k=5","excl_cat5,incl_cat5",0.006042,0.007792,0.00175
denominator_cat5,tfidf_rag,"metric=exact_match, k=10","excl_cat5,incl_cat5",0.0,0.0,0.0
denominator_cat5,tfidf_rag,"metric=token_f1, k=10","excl_cat5,incl_cat5",0.040304,0.051977,0.011673
denominator_cat5,tfidf_rag,"metric=normalized_contains, k=10","excl_cat5,incl_cat5",0.049849,0.064286,0.014437
denominator_cat5,tfidf_rag,"metric=normalized_em_first_token, k=10","excl_cat5,incl_cat5",0.006042,0.007792,0.00175
